149;2+1;465.000 TL;22 Nisan  2020;\GazipaşaCemalpaşaMh.
100;2+1;340.000 TL;21 Nisan  2020;\GazipaşaCemalpaşaMh.
175;3+1;295.000 TL;20 Nisan  2020;\YeşilyurtYeşilyurtMh.
165;3+1;400.000 TL;20 Nisan  2020;\GürselpaşaGürselpaşaMh.
150;3+1;385.000 TL;26 Nisan  2020;\GazipaşaReşatbeyMh.
155;3+1;385.000 TL;26 Nisan  2020;\GazipaşaReşatbeyMh.
125;2+1;240.000 TL;25 Nisan  2020;\ZiyapaşaZiyapaşaMh.
220;4+1;750.000 TL;25 Nisan  2020;\GürselpaşaGürselpaşaMh.
165;3+1;245.000 TL;25 Nisan  2020;\MerkezBahçeşehirMh.
100;2+1;335.000 TL;25 Nisan  2020;\GazipaşaReşatbeyMh.
135;3+1;535.000 TL;25 Nisan  2020;\2000Evler
165;3+1;340.000 TL;25 Nisan  2020;\Mavibulvar/YurtPınarMh.
130;3+1;247.000 TL;25 Nisan  2020;\GürselpaşaGürselpaşaMh.
190;3+1;282.000 TL;25 Nisan  2020;\YeşilyurtYeşilyurtMh.
135;2+1;219.500 TL;25 Nisan  2020;\GürselpaşaGürselpaşaMh.
195;3+1;500.000 TL;25 Nisan  2020;\GazipaşaReşatbeyMh.
115;2+1;525.000 TL;25 Nisan  2020;\GazipaşaCemalpaşaMh.
130;2+1;260.000 TL;25 Nisan  2020;\GürselpaşaGürselpaşaMh.
175;3+1;337.000 TL;25 Nisan  2020;\Mavibulvar/YurtPınarMh.
160;3+1;429.000 TL;25 Nisan  2020;\Mavibulvar/YurtPınarMh.
155;3+1;385.000 TL;26 Nisan  2020;\GazipaşaReşatbeyMh.
125;2+1;240.000 TL;25 Nisan  2020;\ZiyapaşaZiyapaşaMh.
220;4+1;750.000 TL;25 Nisan  2020;\GürselpaşaGürselpaşaMh.
165;3+1;245.000 TL;25 Nisan  2020;\MerkezBahçeşehirMh.
100;2+1;335.000 TL;25 Nisan  2020;\GazipaşaReşatbeyMh.
135;3+1;535.000 TL;25 Nisan  2020;\2000Evler
165;3+1;340.000 TL;25 Nisan  2020;\Mavibulvar/YurtPınarMh.
130;3+1;247.000 TL;25 Nisan  2020;\GürselpaşaGürselpaşaMh.
190;3+1;282.000 TL;25 Nisan  2020;\YeşilyurtYeşilyurtMh.
